product_sku,current_stock,reserved_stock,reorder_point,safety_stock,max_stock_level,warehouse_location
PIST-BAJ-100,120,30,80,35,250,A1-R1-S1
PIST-BAJ-150,65,15,45,20,150,A1-R1-S2
PIST-HERO-100,180,40,100,40,300,A1-R1-S3
PIST-HONDA-125,90,20,60,25,200,A1-R2-S1
GASK-BAJ-100,200,50,120,50,400,A2-R1-S1
GASK-UNIV-125,150,30,80,30,300,A2-R1-S2
CHAIN-428H,55,10,35,15,120,A2-R2-S1
CHAIN-420,80,15,50,20,180,A2-R2-S2
FILT-OIL-100,350,80,200,60,600,A3-R1-S1
FILT-OIL-125,280,50,150,45,500,A3-R1-S2
FILT-AIR-100,400,100,250,80,700,A3-R2-S1
FILT-AIR-125,320,60,180,50,550,A3-R2-S2
BRKE-PAD-DISC,95,20,60,25,200,B1-R1-S1
BRKE-PAD-DRUM,130,25,80,30,250,B1-R1-S2
TIRE-100-18,25,5,18,8,60,B1-R2-S1
TIRE-100-17,30,5,20,8,70,B1-R2-S2
TIRE-125-18,18,3,12,5,50,B1-R2-S3
BATT-12V7A,40,8,25,10,80,B2-R1-S1
BATT-12V9A,28,5,18,7,60,B2-R1-S2
SPRK-NGK-C4HSA,500,100,300,100,900,B2-R2-S1
SPRK-NGK-BPR6ES,380,60,200,60,700,B2-R2-S2
CABL-CLUTCH-100,120,20,70,25,200,C1-R1-S1
CABL-THROT-100,150,30,90,30,250,C1-R1-S2
CABL-SPED-100,100,15,60,20,180,C1-R2-S1
BEAR-6201,600,120,350,100,1000,C2-R1-S1
BEAR-6202,550,80,300,80,900,C2-R1-S2
BEAR-6301,420,60,240,70,750,C2-R2-S1
CLUT-PLATE-100,70,12,40,15,140,C2-R2-S2
CLUT-PLATE-125,55,8,32,12,110,C2-R2-S3
ENGN-OIL-10W30,250,40,150,50,450,D1-R1-S1
ENGN-OIL-20W40,200,30,120,40,380,D1-R1-S2
FORK-SEAL-100,85,10,50,20,150,D1-R2-S1
SHCK-REAR-100,22,4,15,6,50,D1-R2-S2
HEAD-LED-H4,35,5,22,8,70,D2-R1-S1
HEAD-HALO-H4,50,8,30,10,100,D2-R1-S2
TAIL-UNIV-A,75,10,45,15,130,D2-R2-S1
MIRR-ROUND-10,250,30,140,40,400,D2-R2-S2
HDLB-RAISED-22,45,5,28,10,80,E1-R1-S1
SEAT-COMM-100,35,5,22,8,70,E1-R1-S2
TANK-FUEL-10L,12,2,8,3,30,E1-R2-S1
EXHS-BAJ-100,20,3,12,5,40,E2-R1-S1
CARB-KEI-VM17,15,2,10,4,30,E2-R1-S2
