date,product_sku,quantity,revenue,channel,region,invoice_no,customer_id,season
08/01/2025,PIST-BAJ-100,28,16240,wholesale,dhaka,INV-2025-0001,CUST-0029,winter
19/01/2025,PIST-BAJ-100,42,24360,retail,khulna,INV-2025-0002,CUST-0031,winter
12/01/2025,PIST-BAJ-150,21,17220,retail,dhaka,INV-2025-0003,CUST-0035,winter
18/01/2025,PIST-BAJ-150,10,8200,wholesale,dhaka,INV-2025-0004,CUST-0027,winter
07/01/2025,PIST-HERO-100,3,1530,wholesale,sylhet,INV-2025-0005,CUST-0008,winter
14/01/2025,PIST-HERO-100,53,27030,online,chittagong,INV-2025-0006,CUST-0015,winter
24/01/2025,PIST-HERO-100,18,9180,online,dhaka,INV-2025-0007,CUST-0023,winter
05/01/2025,PIST-HONDA-125,2,1280,wholesale,chittagong,INV-2025-0008,CUST-0010,winter
13/01/2025,PIST-HONDA-125,13,8320,wholesale,barishal,INV-2025-0009,CUST-0040,winter
20/01/2025,PIST-HONDA-125,14,8960,retail,khulna,INV-2025-0010,CUST-0007,winter
24/01/2025,PIST-HONDA-125,13,8320,retail,dhaka,INV-2025-0011,CUST-0024,winter
09/01/2025,GASK-BAJ-100,52,12480,retail,dhaka,INV-2025-0012,CUST-0047,winter
19/01/2025,GASK-BAJ-100,57,13680,online,rajshahi,INV-2025-0013,CUST-0005,winter
05/01/2025,GASK-UNIV-125,23,6670,retail,sylhet,INV-2025-0014,CUST-0041,winter
10/01/2025,GASK-UNIV-125,7,2030,wholesale,dhaka,INV-2025-0015,CUST-0042,winter
16/01/2025,GASK-UNIV-125,2,580,retail,barishal,INV-2025-0016,CUST-0036,winter
21/01/2025,GASK-UNIV-125,25,7250,wholesale,chittagong,INV-2025-0017,CUST-0035,winter
26/01/2025,GASK-UNIV-125,4,1160,retail,chittagong,INV-2025-0018,CUST-0006,winter
05/01/2025,CHAIN-428H,6,2100,online,chittagong,INV-2025-0019,CUST-0008,winter
08/01/2025,CHAIN-428H,9,3150,retail,dhaka,INV-2025-0020,CUST-0050,winter
14/01/2025,CHAIN-428H,9,3150,retail,khulna,INV-2025-0021,CUST-0010,winter
18/01/2025,CHAIN-428H,3,1050,wholesale,khulna,INV-2025-0022,CUST-0027,winter
25/01/2025,CHAIN-428H,1,350,wholesale,dhaka,INV-2025-0023,CUST-0004,winter
11/01/2025,CHAIN-420,25,5750,retail,sylhet,INV-2025-0024,CUST-0004,winter
18/01/2025,CHAIN-420,19,4370,wholesale,rajshahi,INV-2025-0025,CUST-0005,winter
05/01/2025,FILT-OIL-100,11,1045,retail,dhaka,INV-2025-0026,CUST-0048,winter
17/01/2025,FILT-OIL-100,126,11970,wholesale,dhaka,INV-2025-0027,CUST-0020,winter
24/01/2025,FILT-OIL-100,27,2565,wholesale,chittagong,INV-2025-0028,CUST-0029,winter
08/01/2025,FILT-OIL-125,87,9570,wholesale,rajshahi,INV-2025-0029,CUST-0001,winter
22/01/2025,FILT-OIL-125,47,5170,retail,dhaka,INV-2025-0030,CUST-0030,winter
05/01/2025,FILT-AIR-100,50,4100,online,dhaka,INV-2025-0031,CUST-0048,winter
12/01/2025,FILT-AIR-100,28,2296,wholesale,dhaka,INV-2025-0032,CUST-0015,winter
16/01/2025,FILT-AIR-100,39,3198,wholesale,dhaka,INV-2025-0033,CUST-0036,winter
26/01/2025,FILT-AIR-100,23,1886,retail,sylhet,INV-2025-0034,CUST-0045,winter
07/01/2025,FILT-AIR-125,48,4320,retail,dhaka,INV-2025-0035,CUST-0050,winter
11/01/2025,FILT-AIR-125,30,2700,retail,khulna,INV-2025-0036,CUST-0019,winter
18/01/2025,FILT-AIR-125,27,2430,retail,dhaka,INV-2025-0037,CUST-0014,winter
22/01/2025,FILT-AIR-125,4,360,wholesale,chittagong,INV-2025-0038,CUST-0020,winter
09/01/2025,BRKE-PAD-DISC,34,5950,wholesale,chittagong,INV-2025-0039,CUST-0003,winter
17/01/2025,BRKE-PAD-DISC,2,350,retail,dhaka,INV-2025-0040,CUST-0020,winter
21/01/2025,BRKE-PAD-DISC,14,2450,retail,dhaka,INV-2025-0041,CUST-0019,winter
