date,product_sku,quantity,unit_cost,total_cost,supplier_name,po_number,lead_time_actual,season
01/01/2025,GASK-UNIV-125,232,150,34800,Guangzhou Gasket Factory,PO-2025-0001,125,winter
04/01/2025,GASK-UNIV-125,268,150,40200,Guangzhou Gasket Factory,PO-2025-0002,100,winter
04/01/2025,CARB-KEI-VM17,17,650,11050,Jiangmen Carburetor Works,PO-2025-0003,106,winter
05/01/2025,CLUT-PLATE-100,69,120,8280,Jinan Clutch Assembly,PO-2025-0004,119,winter
07/01/2025,FORK-SEAL-100,87,55,4785,Foshan Fork Components,PO-2025-0005,106,winter
09/01/2025,CABL-SPED-100,121,42,5082,Hangzhou Cable Manufacturing,PO-2025-0006,109,winter
11/01/2025,PIST-HONDA-125,188,350,65800,Qingdao Piston Manufacturing,PO-2025-0007,125,winter
13/01/2025,PIST-BAJ-100,185,320,59200,Qingdao Piston Manufacturing,PO-2025-0008,103,winter
13/01/2025,HEAD-HALO-H4,97,120,11640,Wenzhou Headlight Co,PO-2025-0009,101,winter
14/01/2025,BATT-12V7A,55,850,46750,Shenzhen Battery Tech,PO-2025-0010,123,winter
14/01/2025,HDLB-RAISED-22,50,150,7500,Kunshan Handlebar Tech,PO-2025-0011,116,winter
18/01/2025,BATT-12V9A,38,980,37240,Shenzhen Battery Tech,PO-2025-0012,117,winter
22/01/2025,SPRK-NGK-BPR6ES,480,72,34560,Wuxi Spark Plug Factory,PO-2025-0013,103,winter
24/01/2025,CHAIN-420,133,120,15960,Chongqing Chain Industry,PO-2025-0014,103,winter
24/01/2025,BEAR-6202,703,38,26714,Zhongshan Bearing Works,PO-2025-0015,112,winter
26/01/2025,PIST-BAJ-150,102,450,45900,Qingdao Piston Manufacturing,PO-2025-0016,104,winter
26/01/2025,TIRE-100-18,60,650,39000,Tianjin Tire Trading,PO-2025-0017,120,winter
26/01/2025,MIRR-ROUND-10,336,35,11760,Xiamen Mirror Industry,PO-2025-0018,114,winter
